category,channel_country,channelTitle,subscriber_count,total_view_count
Sports,GB,Amazon Prime Video Sport,769000,357179049
Sports,GB,TNT Sports,5690000,3848708112
Gaming,US,Call of Duty,7980000,1620597278
Music,US,theneedledrop,2950000,1077287997
Sports,US,Phil Mickelson and the HyFlyers,159000,1740094
People & Blogs,US,Kendrick Lamar,16700000,8075880738
People & Blogs,US,Dexter on Paramount+ with Showtime,528000,47597435
Entertainment,US,Netflix,29300000,9037471418
People & Blogs,US,Kai Trump,390000,10702922
Music,GB,Ed Sheeran,55500000,33424121267
Music,GB,BandAidVEVO,92000,66756919
Entertainment,US,TD BRICKS,6290000,2320011090
Gaming,GB,Total War,550000,243316537
Film & Animation,US,Paramount Pictures,3750000,2919166825
Gaming,GB,Grian,8640000,2543735765
Entertainment,US,Disney,5890000,507556732
Sports,GB,5IVE GUYS FC,508000,82394520
Gaming,US,Cinemassacre,3860000,2294319463
Education,AU,Code Bullet,3170000,260677398
Gaming,FI,Hay Day,2270000,323229714
Sports,MY,The AFC Hub,1910000,382143398
Pets & Animals,US,Dinzo,165000,8876778
Music,US,League of Legends,15500000,8338916953
Music,KR,SMTOWN,32800000,30565191548
Entertainment,US,Bailey Sarian,7520000,1277305107
Entertainment,US,Stay Wild,8230000,2081097535
Comedy,US,Lost in the Pond,760000,172164201
Entertainment,US,Teen Vogue,2130000,846654198
Gaming,US,CouRage Gaming,2510000,1004622875
Gaming,US,CaylusBlox,496000,52622322
Entertainment,US,Entertainment Weekly,687000,576487290
Music,US,Fortnite,12800000,2879932460
Entertainment,US,Pearl Fountain,114000,28765466
People & Blogs,US,The Royalty Family,27300000,9105752012
Gaming,IN,gattu,6280000,1026909563
Gaming,EG,Fortnite Events,381000,137755049
Music,US,kevingatesTV,8590000,9608282197
Sports,GB,Leeds United Official,435000,134215341
Comedy,US,Drew Gooden,4360000,933105619
Gaming,CA,oShven,1070000,75312537
People & Blogs,GB,Half-Asleep Chris,3650000,950477852
Howto & Style,CA,Zac Builds,454000,74747183
Film & Animation,US,Vivziepop,10400000,1498698697
Entertainment,CA,Kalogeras Sisters ,2790000,170671962
Science & Technology,US,Real Engineering,4610000,574244869
Gaming,FI,Clash of Clans,21100000,4740458130
Entertainment,US,No Life Shaq,4700000,1067687671
Gaming,US,Ludwig,6400000,2699140674
Gaming,CA,Pazjor,678000,310042893
Autos & Vehicles,US,ScrapLifeLee,520000,192779339
Music,US,Louaista,1530000,1345135161
Gaming,US,GMHikaru,2620000,899802653
Sports,GB,The United Stand,1970000,1423137161
Entertainment,US,The Company Man,327000,111673829
People & Blogs,KR,izna (이즈나),415000,31163264
Music,IN,T-Series Telugu,11100000,8699345616
Sports,US,BlankBoy,517000,45351164
Sports,ES,Real Madrid,15900000,2780222063
Sports,GB,Sky Sports Premier League,5250000,4383094318
Gaming,US,ProjectJamesify,4630000,2978907744
Gaming,US,Teamfight Tactics,133000,110736414
People & Blogs,CA,Will Tennyson,3130000,801763176
Sports,US,NFL,13500000,11127483643
Gaming,GB,FriendlyMachine,2560000,391760465
News & Politics,US,BENOFTHEWEEK,8080000,2740983363
Gaming,US,League of Legends,15500000,8338916953
Sports,US,FORMULA 1,11300000,7365950014
Gaming,JP,PewDiePie,110000000,29444318118
Gaming,GB,Judo Sloth Gaming,3170000,728906767
Sports,US,WWE,105000000,89725769013
Sports,AU,cricket.com.au,9680000,5245222510
News & Politics,US,CBS TEXAS,449000,403496544
Entertainment,US,Cut,12200000,5805718393
Entertainment,US,JayBlac,337000,45550264
Gaming,CA,Games Cage,62700,17845318
People & Blogs,US,erica ha,1980000,162237186
Howto & Style,CA,Morley Kert,528000,137714311
Comedy,US,courtreezy,4290000,439829502
Gaming,US,Calvin,643000,65722103
Gaming,US,Sam Procrastinates,55500,18025261
Gaming,US,Dani and Snappy,28800,3144956
Gaming,GB,SkinSpotlights,2710000,2155020063
Gaming,NO,Boosfer,957000,191020399
Gaming,US,Evbo,2970000,963440645
Comedy,US,Haminations,7060000,1588220958
Gaming,NL,FundyLIVE,1320000,54657064
Music,US,Riot Games Music,501000,202167092
Pets & Animals,CA,AntsCanada,6210000,755290794
Entertainment,US,Matt Stonie,16400000,3708222144
Pets & Animals,US,Dr. Plants,2830000,243420742
Pets & Animals,US,TerraGreen,814000,70625158
