category,channel_country,channelTitle,subscriber_count,total_view_count
People & Blogs,US,Kendrick Lamar,16700000,8075880738.0
Entertainment,US,Netflix,29300000,9037471418.0
Entertainment,US,Stay Wild,8230000,2081097535.0
Film & Animation,US,Paramount Pictures,3750000,2919166825.0
Entertainment,US,Disney,5890000,507556732.0
Comedy,US,Drew Gooden,4360000,933105619.0
People & Blogs,US,Kai Trump,390000,10702922.0
Sports,US,Phil Mickelson and the HyFlyers,159000,1740094.0
Music,US,theneedledrop,2950000,1077287997.0
Gaming,US,Call of Duty,7980000,1620597278.0
Sports,MY,The AFC Hub,1910000,382143398.0
People & Blogs,US,The Royalty Family,27300000,9105752012.0
Entertainment,KR,Mnet K-POP,21400000,17129607978.0
Sports,AU,Optus Sport,837000,286850701.0
Education,AU,Code Bullet,3170000,260677398.0
Entertainment,US,TD BRICKS,6290000,2320011090.0
Gaming,GB,Total War,550000,243316537.0
Music,US,League of Legends,15500000,8338916953.0
Music,IN,T-Series Telugu,11100000,8699345616.0
People & Blogs,US,Dexter on Paramount+ with Showtime,528000,47597435.0
Entertainment,US,Entertainment Weekly,687000,576487290.0
Music,KR,ROSÉ,12900000,1365394128.0
Music,US,Riot Games Music,501000,202167092.0
People & Blogs,CA,Will Tennyson,3130000,801763176.0
Entertainment,CA,Kalogeras Sisters ,2790000,170671962.0
Gaming,FI,Clash of Clans,21100000,4740458130.0
Entertainment,US,Bailey Sarian,7520000,1277305107.0
Entertainment,US,Teen Vogue,2130000,846654198.0
Music,KR,SMTOWN,32800000,30565191548.0
Gaming,US,CaylusBlox,496000,52622322.0
Pets & Animals,US,Dr. Plants,2830000,243420742.0
Music,GB,BandAidVEVO,92000,66756919.0
Film & Animation,US,Wicked Movie,89700,35496821.0
Music,GB,Ed Sheeran,55500000,33424121267.0
Music,US,Fortnite,12800000,2879932460.0
Gaming,US,CouRage Gaming,2510000,1004622875.0
Gaming,JP,PewDiePie,110000000,29444318118.0
Sports,PT,UR · Cristiano,69600000,647384087.0
People & Blogs,US,Safiya Nygaard,10100000,2035888906.0
Pets & Animals,US,TerraGreen,814000,70625158.0
People & Blogs,KR,izna (이즈나),415000,31163264.0
Gaming,CA,oShven,1070000,75312537.0
Entertainment,JP,ConnorDawg,1440000,370204220.0
Sports,GB,5IVE GUYS FC,508000,82394520.0
Science & Technology,US,Real Engineering,4610000,574244869.0
Science & Technology,AU,ColdFusion,4930000,502146619.0
Gaming,US,Cinemassacre,3860000,2294319463.0
Music,US,Louaista,1530000,1345135161.0
Comedy,US,Haminations,7060000,1588220958.0
Gaming,US,Ludwig,6400000,2699140674.0
Gaming,EG,Fortnite Events,381000,137755049.0
Gaming,GB,Judo Sloth Gaming,3170000,728906767.0
News & Politics,US,BENOFTHEWEEK,8080000,2740983363.0
Pets & Animals,US,Dinzo,165000,8876778.0
Gaming,US,Teamfight Tactics,133000,110736414.0
Sports,AU,cricket.com.au,9680000,5245222510.0
People & Blogs,US,erica ha,1980000,162237186.0
Howto & Style,CA,Zac Builds,454000,74747183.0
Entertainment,US,Baylen Levine,4820000,855150535.0
Entertainment,US,Live Speedy,12600000,3556701729.0
Gaming,US,Evbo,2970000,963440645.0
Gaming,US,The Game Theorists,19400000,4348336246.0
Entertainment,US,Cut,12200000,5805718393.0
Entertainment,US,AMP,6720000,768343770.0
Sports,GB,Leeds United Official,435000,134215341.0
Gaming,GB,SkinSpotlights,2710000,2155020063.0
Gaming,US,GMHikaru,2620000,899802653.0
Howto & Style,CA,Morley Kert,528000,137714311.0
Sports,ES,Real Madrid,15900000,2780222063.0
Film & Animation,US,Vivziepop,10400000,1498698697.0
Gaming,NO,Boosfer,957000,191020399.0
People & Blogs,GB,Half-Asleep Chris,3650000,950477852.0
Gaming,NL,FundyLIVE,1320000,54657064.0
Gaming,IN,gattu,6280000,1026909563.0
Film & Animation,US,JLaservideo,5110000,1221835923.0
Pets & Animals,US,Bass fishing Productions,2410000,561136078.0
News & Politics,US,OfflineTV,3260000,830564328.0
Sports,GB,Tottenham Hotspur,3740000,1416387706.0
Autos & Vehicles,US,ScrapLifeLee,520000,192779339.0
Entertainment,GB,BrainPilot,264000,129109254.0
Entertainment,GB,Miniminter,10400000,4127674663.0
Entertainment,US,Universal Pictures,9490000,6713007433.0
Music,US,Republic Records,757000,593075801.0
Gaming,US,Home Of Games,4550000,385212841.0
Gaming,DE,Gamer Robot,4310000,266468534.0
Autos & Vehicles,AU,CarExpert,507000,142958800.0
Music,US,Oliver Anthony Music,1360000,221971796.0
People & Blogs,US,Royal Court,303000,23611728.0
Comedy,US,The Try Guys,7980000,2773619876.0
Music,IN,Swar,132000,30060504.0
Entertainment,US,JustParkers ,519000,14825262.0
Science & Technology,CA,Engineezy,876000,341254979.0
Entertainment,GB,Gordon Ramsay,21000000,4263060634.0
Sports,PY,CONMEBOL Sudamericana,309000,73459222.0
Autos & Vehicles,US,Grind Hard Plumbing Co,2700000,552159091.0
Autos & Vehicles,US,Donut,8880000,2808407813.0
Entertainment,AU,SunnyV2,4250000,1257891319.0
Gaming,GB,Grian,8640000,2543735765.0
Gaming,FI,Hay Day,2270000,323229714.0
People & Blogs,IN,Prem Dhillon,882000,570109085.0
Entertainment,GB,British Vogue,1660000,534181187.0
People & Blogs,KR,OfficialGDRAGON,3120000,431148615.0
People & Blogs,US,pierson,6060000,1826070921.0
Gaming,SE,Minecraft,13900000,2408176358.0
Autos & Vehicles,GB,Jaguar,260000,13442651.0
Sports,US,"Fishing With ""Oh Dad!""",1410000,2961959.0
Gaming,US,PointCrow,2400000,593163683.0
Gaming,US,League of Legends,15500000,8338916953.0
Sports,US,FORMULA 1,11300000,7365950014.0
Entertainment,US,Matt Stonie,16400000,3708222144.0
Gaming,US,Calvin,643000,65722103.0
Entertainment,US,Sam and Colby Reacts,1940000,140822788.0
Sports,GB,The United Stand,1970000,1423137161.0
Entertainment,US,Schaffrillas Productions,1940000,458122424.0
Music,US,Jack Harlow,2950000,1847692539.0
Pets & Animals,CA,AntsCanada,6210000,755290794.0
Entertainment,US,Magic The Noah,1170000,132576559.0
People & Blogs,US,Joll and Conk,496000,47281439.0
Howto & Style,US,Blacktail Studio,2920000,382262244.0
Sports,AU,Football Australia,211000,60490497.0
Comedy,US,Shane2,2770000,177903026.0
Comedy,US,courtreezy,4290000,439829502.0
Autos & Vehicles,US,PeckBrothers,106000,9544981.0
Film & Animation,US,RDCworld1,7050000,1664925084.0
Music,IN,T-Series,279000000,274740000000.0
Gaming,GB,FriendlyMachine,2560000,391760465.0
Music,GB,Coldplay,27000000,20052590829.0
Sports,US,NFL,13500000,11127483643.0
Film & Animation,AU,GLITCH,12100000,1346891238.0
People & Blogs,AU,Sarahs Day,1550000,318889694.0
Sports,US,Jesser,22300000,5813532685.0
Comedy,US,thelonelyisland,7320000,2823553551.0
Entertainment,US,Honkai: Star Rail,2390000,456596121.0
Film & Animation,US,InCinematic,15800,5368252.0
Entertainment,US,Pearl Fountain,114000,28765466.0
People & Blogs,US,Gomu,92100,637724.0
Film & Animation,US,ZAMination,5290000,1845487935.0
Music,US,Juice WRLD,12100000,6945220523.0
Entertainment,US,Duke Dennis,3030000,169511357.0
Sports,US,WWE,105000000,89725769013.0
Film & Animation,CA,Dungeon Soup,465000,46454964.0
Gaming,GB,Jack Joseph,50500,868352.0
Gaming,US,Honkai: Star Rail,2390000,456596121.0
Sports,US,ESPN College Football,961000,710631736.0
Gaming,US,PlayOverwatch,2960000,818097212.0
Gaming,CA,Pazjor,678000,310042893.0
