category,channel_country,channelTitle,subscriber_count,total_view_count
People & Blogs,US,Kendrick Lamar,16700000,8075880738
Music,US,theneedledrop,2950000,1077287997
Gaming,US,Call of Duty,7980000,1620597278
People & Blogs,US,Kai Trump,390000,10702922
Sports,US,Phil Mickelson and the HyFlyers,159000,1740094
Entertainment,US,Netflix,29300000,9037471418
Film & Animation,US,Paramount Pictures,3750000,2919166825
Entertainment,US,TD BRICKS,6290000,2320011090
Entertainment,US,Disney,5890000,507556732
Music,US,kevingatesTV,8590000,9608282197
Gaming,US,Cinemassacre,3860000,2294319463
Gaming,US,Ludwig,6400000,2699140674
Gaming,FI,Hay Day,2270000,323229714
People & Blogs,US,Dexter on Paramount+ with Showtime,528000,47597435
Entertainment,CA,Kalogeras Sisters ,2790000,170671962
Education,AU,Code Bullet,3170000,260677398
Entertainment,US,Bailey Sarian,7520000,1277305107
Entertainment,US,The Chosen,2980000,316878244
Gaming,GB,Total War,550000,243316537
Pets & Animals,US,Dinzo,165000,8876778
Comedy,US,Lost in the Pond,760000,172164201
Entertainment,US,Stay Wild,8230000,2081097535
Music,US,League of Legends,15500000,8338916953
Music,US,FUERZA REGIDA,4400000,6116173894
Entertainment,US,Pearl Fountain,114000,28765466
Gaming,GB,Grian,8640000,2543735765
Music,KR,SMTOWN,32800000,30565191548
Comedy,US,Drew Gooden,4360000,933105619
News & Politics,US,KHON2 News,297000,278547307
Music,US,Fortnite,12800000,2879932460
Gaming,US,CaylusBlox,496000,52622322
Entertainment,US,Entertainment Weekly,687000,576487290
Sports,US,CBS Sports Golazo - Asia,23200,14991975
Gaming,CA,oShven,1070000,75312537
Gaming,US,CouRage Gaming,2510000,1004622875
Entertainment,US,No Life Shaq,4700000,1067687671
Entertainment,US,Teen Vogue,2130000,846654198
Music,GB,Ed Sheeran,55500000,33424121267
People & Blogs,US,The Royalty Family,27300000,9105752012
Gaming,EG,Fortnite Events,381000,137755049
Sports,US,BlankBoy,517000,45351164
Entertainment,US,Louie's Life,2750000,349069043
Gaming,IN,gattu,6280000,1026909563
Music,US,Louaista,1530000,1345135161
Film & Animation,US,Vivziepop,10400000,1498698697
Sports,US,NFL,13500000,11127483643
Gaming,US,League of Legends,15500000,8338916953
Science & Technology,US,The Deal Guy,2720000,372559523
Howto & Style,CA,Zac Builds,454000,74747183
Science & Technology,US,Real Engineering,4610000,574244869
Autos & Vehicles,US,Jay Leno's Garage,3750000,986142734
Gaming,FI,Clash of Clans,21100000,4740458130
People & Blogs,GB,Half-Asleep Chris,3650000,950477852
News & Politics,US,BENOFTHEWEEK,8080000,2740983363
People & Blogs,KR,izna (이즈나),415000,31163264
Gaming,US,Teamfight Tactics,133000,110736414
Sports,US,NBA on ESPN,1680000,1402322062
Music,IN,T-Series Telugu,11100000,8699345616
Sports,MY,The AFC Hub,1910000,382143398
Gaming,US,GMHikaru,2620000,899802653
News & Politics,US,CBS TEXAS,449000,403496544
Sports,GB,5IVE GUYS FC,508000,82394520
Entertainment,US,JayBlac,337000,45550264
Entertainment,US,Cut,12200000,5805718393
People & Blogs,CA,Will Tennyson,3130000,801763176
Sports,US,ESPN,13000000,15794941851
Gaming,GB,FriendlyMachine,2560000,391760465
Sports,US,FORMULA 1,11300000,7365950014
Sports,US,Denver Broncos,156000,68403794
Sports,US,NBC Sports,4720000,4412091159
Gaming,JP,PewDiePie,110000000,29444318118
Comedy,US,Haminations,7060000,1588220958
Comedy,US,courtreezy,4290000,439829502
Sports,US,ESPN College Football,961000,710631736
Gaming,GB,Judo Sloth Gaming,3170000,728906767
Sports,ES,Real Madrid,15900000,2780222063
Howto & Style,CA,Morley Kert,528000,137714311
Gaming,US,ProjectJamesify,4630000,2978907744
Gaming,GB,SkinSpotlights,2710000,2155020063
Gaming,US,Calvin,643000,65722103
Gaming,US,Sam Procrastinates,55500,18025261
People & Blogs,US,erica ha,1980000,162237186
Gaming,CA,Games Cage,62700,17845318
Sports,US,Jesser,22300000,5813532685
